submission_id,trial_number,block,stimulus,RT,handedness,gender,total_time_spent,comments,mean_C,sd_C,trial_type,trial
8552,13,reaction,square,410,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,113
8552,14,reaction,circle,335,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,114
8552,15,reaction,circle,344,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,115
8552,16,reaction,square,269,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,116
8552,17,reaction,circle,306,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,117
8552,18,reaction,circle,278,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,118
8552,19,reaction,square,278,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,119
8552,20,reaction,square,287,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,120
8552,2,goNoGo,square,389,Right,male,25.5699166666667,non given,442.3680154142582,104.39193955717755,acceptable,121
8552,4,goNoGo,square,357,Right,male,25.5699166666667,non given,442.3680154142582,104.39193955717755,acceptable,122
8552,5,goNoGo,square,629,Right,male,25.5699166666667,non given,442.3680154142582,104.39193955717755,acceptable,123
8552,7,goNoGo,square,487,Right,male,25.5699166666667,non given,442.3680154142582,104.39193955717755,acceptable,124
8552,9,goNoGo,square,436,Right,male,25.5699166666667,non given,442.3680154142582,104.39193955717755,acceptable,125
8552,13,goNoGo,square,376,Right,male,25.5699166666667,non given,442.3680154142582,104.39193955717755,acceptable,127
8552,1,discrimination,NA,387,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,131
8552,2,discrimination,NA,447,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,132
8552,3,discrimination,NA,551,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,133
8552,4,discrimination,NA,779,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,134
8552,5,discrimination,NA,571,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,135
8552,6,discrimination,NA,622,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,136
8552,7,discrimination,NA,458,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,137
8552,8,discrimination,NA,452,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,138
8552,9,discrimination,NA,423,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,139
8552,10,discrimination,NA,373,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,140
8552,11,discrimination,NA,399,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,141
8552,12,discrimination,NA,409,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,142
8552,13,discrimination,NA,464,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,143
8552,14,discrimination,NA,683,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,144
8552,15,discrimination,NA,471,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,145
8552,16,discrimination,NA,541,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,146
8552,17,discrimination,NA,562,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,147
8552,18,discrimination,NA,532,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,148
8552,19,discrimination,NA,535,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,149
8552,20,discrimination,NA,493,Right,male,25.5699166666667,non given,517.792,185.41160751204384,acceptable,150
8551,1,reaction,square,577,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,151
8551,2,reaction,square,272,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,152
8551,4,reaction,circle,273,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,154
8551,5,reaction,circle,249,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,155
8551,6,reaction,circle,450,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,156
8551,7,reaction,circle,255,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,157
8551,8,reaction,square,286,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,158
8551,9,reaction,square,259,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,159
8551,10,reaction,square,267,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,160
8551,11,reaction,square,291,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,161
8551,12,reaction,square,294,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,162
8551,13,reaction,circle,291,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,163
8551,14,reaction,circle,243,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,164
8551,15,reaction,square,252,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,165
8551,16,reaction,square,283,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,166
8551,17,reaction,circle,316,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,167
8551,18,reaction,circle,254,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,168
8551,19,reaction,circle,284,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,169
8551,20,reaction,circle,277,right,male,4.11353333333333,non given,311.337,157.1413912622892,acceptable,170
8551,1,goNoGo,square,311,right,male,4.11353333333333,non given,442.3680154142582,104.39193955717755,acceptable,171
8551,3,goNoGo,square,393,right,male,4.11353333333333,non given,442.3680154142582,104.39193955717755,acceptable,172
8551,5,goNoGo,square,347,right,male,4.11353333333333,non given,442.3680154142582,104.39193955717755,acceptable,173
8551,8,goNoGo,square,294,right,male,4.11353333333333,non given,442.3680154142582,104.39193955717755,acceptable,174
8551,9,goNoGo,square,438,right,male,4.11353333333333,non given,442.3680154142582,104.39193955717755,acceptable,175
8551,14,goNoGo,square,340,right,male,4.11353333333333,non given,442.3680154142582,104.39193955717755,acceptable,176
8551,15,goNoGo,square,454,right,male,4.11353333333333,non given,442.3680154142582,104.39193955717755,acceptable,177
8551,16,goNoGo,square,309,right,male,4.11353333333333,non given,442.3680154142582,104.39193955717755,acceptable,178
8551,19,goNoGo,square,328,right,male,4.11353333333333,non given,442.3680154142582,104.39193955717755,acceptable,179
8551,20,goNoGo,square,472,right,male,4.11353333333333,non given,442.3680154142582,104.39193955717755,acceptable,180
8551,1,discrimination,NA,462,right,male,4.11353333333333,non given,517.792,185.41160751204384,acceptable,181
8551,2,discrimination,NA,343,right,male,4.11353333333333,non given,517.792,185.41160751204384,acceptable,182
8551,3,discrimination,NA,426,right,male,4.11353333333333,non given,517.792,185.41160751204384,acceptable,183
8551,4,discrimination,NA,522,right,male,4.11353333333333,non given,517.792,185.41160751204384,acceptable,184
8551,5,discrimination,NA,419,right,male,4.11353333333333,non given,517.792,185.41160751204384,acceptable,185
8551,6,discrimination,NA,378,right,male,4.11353333333333,non given,517.792,185.41160751204384,acceptable,186
8551,7,discrimination,NA,448,right,male,4.11353333333333,non given,517.792,185.41160751204384,acceptable,187
8551,8,discrimination,NA,449,right,male,4.11353333333333,non given,517.792,185.41160751204384,acceptable,188
8551,9,discrimination,NA,444,right,male,4.11353333333333,non given,517.792,185.41160751204384,acceptable,189
8551,10,discrimination,NA,386,right,male,4.11353333333333,non given,517.792,185.41160751204384,acceptable,190
